epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.8983451724052429,0.4907751977443695,9.999999747378752e-05,0.5922262668609619,0.8983451724052429,0.4995613992214203,0.4975306987762451
1,0.8983451724052429,0.49442481994628906,9.999999747378752e-05,0.433454304933548,0.8983451724052429,0.49978071451187134,0.3793320655822754
2,0.8983451724052429,0.5057594776153564,9.999999747378752e-05,0.35961243510246277,0.8983451724052429,0.6014564633369446,0.33897581696510315
3,0.8983451724052429,0.8378859758377075,9.999999747378752e-05,0.2935463786125183,0.8983451724052429,0.9776051640510559,0.24200201034545898
4,0.8983451724052429,0.9682393670082092,9.999999747378752e-05,0.21889111399650574,0.8983451724052429,0.9865365028381348,0.19004815816879272
5,0.9034672975540161,0.984781801700592,9.999999747378752e-05,0.16770440340042114,0.8983451724052429,0.9941673278808594,0.1375749707221985
6,0.9567080140113831,0.9901769757270813,9.999999747378752e-05,0.1234157457947731,0.9810874462127686,0.9942670464515686,0.1089969053864479
7,0.9882781505584717,0.9921058416366577,9.999999747378752e-05,0.09369555860757828,0.9889677166938782,0.993384063243866,0.08101148158311844
8,0.9920212626457214,0.9955166578292847,9.999999747378752e-05,0.07252491265535355,0.9877856373786926,0.9971452951431274,0.06623661518096924
9,0.9939420819282532,0.9963036775588989,9.999999747378752e-05,0.056346792727708817,0.9905437231063843,0.9936085343360901,0.05565015226602554
10,0.995124101638794,0.9966312050819397,9.999999747378752e-05,0.04530545324087143,0.9915287494659424,0.9922594428062439,0.0463581457734108
11,0.995518147945404,0.9976065754890442,9.999999747378752e-05,0.03706410899758339,0.9907407164573669,0.9979850649833679,0.03981051966547966
